"","group","playerID","round","contribution","Payoff","TotalPayoff","age","colorPreference","gender","major"
"1"," 2",716,"1",2,16.5,16.5,23,"red","female","compscie"
"2"," 2",716,"2",2,15,31.5,23,"red","female","compscie"
"3"," 2",716,"3",2,18.5,50,23,"red","female","compscie"
"4"," 2",716,"4",1,21,71,23,"red","female","compscie"
"5"," 2",716,"5",1,20,91,23,"red","female","compscie"
"6","10",719,"1",6,15,15,23,"blue","female","business"
"7","10",719,"2",7,8,23,23,"blue","female","business"
"8","10",719,"3",6,12.5,35.5,23,"blue","female","business"
"9","10",719,"4",7,12.5,48,23,"blue","female","business"
"10","10",719,"5",6,8.5,56.5,23,"blue","female","business"
"11"," 3",720,"1",5,15.5,15.5,23,"blue","female","other"
"12"," 3",720,"2",2,17,32.5,23,"blue","female","other"
"13"," 3",720,"3",10,16,48.5,23,"blue","female","other"
"14"," 3",720,"4",10,15,63.5,23,"blue","female","other"
"15"," 3",720,"5",5,17,80.5,23,"blue","female","other"
"16"," 2",722,"1",7,11.5,11.5,22,"blue","male","econ"
"17"," 2",722,"2",6,11,22.5,22,"blue","male","econ"
"18"," 2",722,"3",10,10.5,33,22,"blue","male","econ"
"19"," 2",722,"4",10,12,45,22,"blue","male","econ"
"20"," 2",722,"5",10,11,56,22,"blue","male","econ"
"21"," 9",727,"1",8,0,0,22,"blue","female","business"
"22"," 9",727,"2",7,18.5,18.5,22,"blue","female","business"
"23"," 9",727,"3",7,14.5,33,22,"blue","female","business"
"24"," 9",727,"4",7,17,50,22,"blue","female","business"
"25"," 9",727,"5",3,20.5,70.5,22,"blue","female","business"
"26"," 3",736,"1",5,15.5,15.5,21,"blue","female","infosys"
"27"," 3",736,"2",5,14,29.5,21,"blue","female","infosys"
"28"," 3",736,"3",4,22,51.5,21,"blue","female","infosys"
"29"," 3",736,"4",5,20,71.5,21,"blue","female","infosys"
"30"," 3",736,"5",4,18,89.5,21,"blue","female","infosys"
"31"," 6",739,"1",4,16.5,16.5,23,"red","female","other"
"32"," 6",739,"2",2,20.5,37,23,"red","female","other"
"33"," 6",739,"3",0,20.5,57.5,23,"red","female","other"
"34"," 6",739,"4",3,18,75.5,23,"red","female","other"
"35"," 6",739,"5",0,19.5,95,23,"red","female","other"
"36"," 3",745,"1",5,15.5,15.5,23,"red","female","business"
"37"," 3",745,"2",6,13,28.5,23,"red","female","business"
"38"," 3",745,"3",10,16,44.5,23,"red","female","business"
"39"," 3",745,"4",5,20,64.5,23,"red","female","business"
"40"," 3",745,"5",5,17,81.5,23,"red","female","business"
"41","13",754,"1",6,9,9,23,"blue","female","other"
"42","13",754,"2",9,NA,NA,23,"blue","female","other"
"43","13",754,"3",9,9,9,23,"blue","female","other"
"44","13",754,"5",NA,4,13,23,"blue","female","other"
"45"," 5",758,"1",5,13,13,26,"blue","male","infosys"
"46"," 5",758,"2",7,15,28,26,"blue","male","infosys"
"47"," 5",758,"3",8,13,41,26,"blue","male","infosys"
"48"," 5",758,"4",7,17,58,26,"blue","male","infosys"
"49"," 5",758,"5",7,18.5,76.5,26,"blue","male","infosys"
"50"," 1",761,"1",0,17,17,24,"blue","male","econ"
"51"," 1",761,"2",0,20,37,24,"blue","male","econ"
"52"," 1",761,"3",0,21,58,24,"blue","male","econ"
"53"," 1",761,"4",0,17.5,75.5,24,"blue","male","econ"
"54"," 1",761,"5",0,15,90.5,24,"blue","male","econ"
"55"," 1",763,"1",3,14,14,23,"blue","female","business"
"56"," 1",763,"2",5,15,29,23,"blue","female","business"
"57"," 1",763,"3",7,14,43,23,"blue","female","business"
"58"," 1",763,"4",NA,10.5,53.5,23,"blue","female","business"
"59"," 1",763,"5",5,10,63.5,23,"blue","female","business"
"60"," 1",764,"1",5,12,12,23,"blue","female","business"
"61"," 1",764,"2",5,15,27,23,"blue","female","business"
"62"," 1",764,"3",5,16,43,23,"blue","female","business"
"63"," 1",764,"4",5,12.5,55.5,23,"blue","female","business"
"64"," 1",764,"5",5,10,65.5,23,"blue","female","business"
"65"," 8",766,"1",5,15,15,21,"blue","female","econ"
"66"," 8",766,"2",10,9,24,21,"blue","female","econ"
"67"," 8",766,"3",2,16.5,40.5,21,"blue","female","econ"
"68"," 8",766,"4",NA,10,50.5,21,"blue","female","econ"
"69"," 8",766,"5",5,7.5,58,21,"blue","female","econ"
"70"," 4",767,"1",5,17.5,17.5,31,"blue","female","other"
"71"," 4",767,"2",5,18,35.5,31,"blue","female","other"
"72"," 4",767,"3",3,19.5,55,31,"blue","female","other"
"73"," 4",767,"4",1,17,72,31,"blue","female","other"
"74"," 4",767,"5",5,16.5,88.5,31,"blue","female","other"
"75"," 7",768,"1",0,12.5,12.5,24,"blue","male","econ"
"76"," 7",768,"2",0,11,23.5,24,"blue","male","econ"
"77"," 7",768,"3",10,5,28.5,24,"blue","male","econ"
"78"," 7",768,"4",4,9.5,38,24,"blue","male","econ"
"79"," 7",768,"5",0,10,48,24,"blue","male","econ"
